Wikidata label,wikidata ID,Project Gutenberg ID,Project Gutenberg title,
Piccadilly Jim,Q3902535,2005,Piccadilly Jim,
The Autobiography of Charles Darwin,Q2001494,2010,The Autobiography of Charles Darwin,
Nostromo,Q430248,2021,Nostromo: A Tale of the Seaboard,
Diary of a Pilgrimage,Q16514005,2024,Diary of a Pilgrimage,
The Yellow Claw,Q3793730,2028,The Yellow Claw,
Confessions of an English Opium-Eater,Q1610128,2040,Confessions of an English Opium-Eater,
Something Fresh,Q7560096,2042,Something New,
The Education of Henry Adams,Q7731604,2044,The Education of Henry Adams,
Clotel,Q3681191,2046,?,
A Journey to the Western Islands of Scotland,Q1217063,2064,A Journey to the Western Islands of Scotland,
To the Last Man (Grey novel),Q7811278,2070,To the Last Man,
The Blithedale Romance,Q4007947,2081,The Blithedale Romance,
In Search of the Castaways,Q1213902,2083,"In Search of the Castaways; Or, The Children of Captain Grant",
The Way of All Flesh,Q255074,2084,The Way of All Flesh,
The Sign of the Four,Q500688,2097,The Sign of the Four,
A Thief in the Night (short story collection),Q4660060,2098,A Thief in the Night: A Book of Raffles' Adventures,
The Crime of Sylvestre Bonnard,Q3221974,2123,The Crime of Sylvestre Bonnard,
Childhood (novel),Q1766899,2142,Childhood,
Ben-Hur: A Tale of the Christ,Q816528,2145,Ben-Hur; a tale of the Christ,
The Mystery of Marie Rogêt,Q1167993,2147,The Works of Edgar Allan Poe — Volume 1,
Mary Barton,Q2607078,2153,Mary Barton,
The Prime Minister (novel),Q7758216,2158,The Prime Minister,
The Expedition of Humphry Clinker,Q3203413,2160,The Expedition of Humphry Clinker,
King Solomon's Mines,Q1137494,2166,King Solomon's Mines,
The Marble Faun,Q3222702,2181,"The Marble Faun; Or, The Romance of Monte Beni - Volume 1",
The Marble Faun,Q3222702,2182,"The Marble Faun; Or, The Romance of Monte Beni - Volume 2",
Three Men on the Bummel,Q948984,2183,Three Men on the Bummel,
Captains Courageous,Q1035138,2186,"\""Captains Courageous\"": A Story of the Grand Banks",
The Notebooks of Malte Laurids Brigge,Q968544,2188,?,
Mauprat,Q3300215,2194,Mauprat,
The Gambler (novel),Q223688,2197,The Gambler,
Kim (novel),Q589868,2226,Kim,
The Duchess of Malfi,Q3408612,2232,The Duchess of Malfi,
The Pioneers (novel),Q1898036,2275,"The Pioneers; Or, The Sources of the Susquehanna",
David Elginbrod,Q5233331,2291,David Elginbrod,
"The Descent of Man, and Selection in Relation to Sex",Q1165434,2300,"The Descent of Man, and Selection in Relation to Sex",
Poor Folk,Q117293,2302,Poor Folk,
Travels through France and Italy,Q7836104,2311,Travels through France and Italy,
The Adventure of Wisteria Lodge,Q2420223,2343,The Adventure of Wisteria Lodge,
The Adventure of the Cardboard Box,Q499059,2344,The Adventure of the Cardboard Box,
